specimen,split,location,time,epistemic_width,total_width,ratio
C1,60/40,endpoint,560.0,6.767141134761843,6.872710714497764,0.9846393098558295
C1,60/40,midpoint,382.0,5.291280872554644,5.574236135814637,0.9492387375837926
C2,60/40,endpoint,560.0,3.0279494950205077,3.3702915386352004,0.8984236112246468
C2,60/40,midpoint,382.0,1.983466228602495,2.592989632329406,0.7649341146114237
C3,60/40,endpoint,560.0,4.648232969426104,4.9143256671665085,0.945853670317737
C3,60/40,midpoint,382.0,4.321086258126954,4.572503090752377,0.9450154920323839
C4,60/40,endpoint,560.0,5.067966103210168,5.2488292911929335,0.9655421851333138
C4,60/40,midpoint,382.0,3.3185493389165828,3.801775536380134,0.8728946007360403
C5,60/40,endpoint,560.0,7.04418186731084,7.283773643443865,0.9671060925474143
C5,60/40,midpoint,382.0,4.624654887879814,5.24885728475229,0.8810784208811014
C6,60/40,endpoint,560.0,8.374675583369083,8.585792309718741,0.9754109208872099
C6,60/40,midpoint,382.0,5.856192754587276,6.38477362596786,0.9172122768408322
C7,60/40,endpoint,560.0,3.2200532119205008,3.5193803192213124,0.914948917095996
C7,60/40,midpoint,382.0,2.305240671713875,2.811720535417166,0.8198683484636762
C8,60/40,endpoint,560.0,8.857088692981307,8.953668309560904,0.9892134024580219
C8,60/40,midpoint,382.0,7.010888865436513,7.360753748973806,0.9524688781245984
