specimen,split,alpha,rmse_fok,rmse_kww,one_minus_alpha,rmse_gain
C1,50/50,0.6284776079510267,1.2901313088083002,3.408343637607984,0.3715223920489733,2.118212328799684
C2,50/50,0.5571582074677595,5.311031221034126,4.385223298096999,0.44284179253224054,-0.9258079229371265
C3,50/50,0.45884633932980895,2.7485078163314403,2.1934383492034715,0.541153660670191,-0.5550694671279688
C4,50/50,0.6398824325105957,3.5661717334577534,2.668886666395871,0.36011756748940427,-0.8972850670618824
C5,50/50,0.6159187236504234,3.0320252073805283,2.328997782763797,0.38408127634957656,-0.7030274246167312
C6,50/50,0.72370057228601,1.867996516011162,4.918405233269899,0.27629942771398996,3.0504087172587373
C7,50/50,0.5124110526309179,2.847799543904892,1.8969742450689926,0.4875889473690821,-0.9508252988358994
C8,50/50,0.6264931250619327,1.2944307045883283,0.6709902747213722,0.37350687493806733,-0.6234404298669561
C1,60/40,0.6762183398344377,3.2478836475807724,5.5694709042346044,0.3237816601655623,2.321587256653832
C2,60/40,0.5761970687695902,5.495033526163781,4.638100072921057,0.4238029312304098,-0.856933453242724
C3,60/40,0.4679790506869343,2.763671842595887,2.253774842789654,0.5320209493130656,-0.5098969998062328
C4,60/40,0.6477503349090582,3.838846202313233,2.954222344178292,0.3522496650909418,-0.8846238581349408
C5,60/40,0.6717310434902356,1.4877263896485347,0.7420609085172181,0.3282689565097644,-0.7456654811313166
C6,60/40,0.7306613529422764,2.3314485749006875,5.2539153365974025,0.2693386470577236,2.922466761696715
C7,60/40,0.5018142540040524,3.609445554401258,2.7782073133859706,0.49818574599594756,-0.8312382410152872
C8,60/40,0.6539085348632598,0.5795759011017062,1.3649288399608261,0.34609146513674016,0.7853529388591199
C1,70/30,0.6405553139560609,2.2826872027529324,3.3454651668930646,0.3594446860439391,1.0627779641401323
C2,70/30,0.6143781611035999,5.216761203094544,4.468762134504764,0.3856218388964001,-0.7479990685897802
C3,70/30,0.5059166459939921,1.9991641113514829,1.559523822595364,0.4940833540060079,-0.4396402887561188
C4,70/30,0.6817219450071189,3.462179460416599,2.6766505342475537,0.3182780549928811,-0.7855289261690452
C5,70/30,0.7338072795797701,0.4804783140471375,1.228109445760148,0.2661927204202299,0.7476311317130105
C6,70/30,0.7238518864321745,2.245598553897956,4.651466465663198,0.27614811356782554,2.4058679117652417
C7,70/30,0.5080443536347292,3.6445527736909606,2.923689172573773,0.4919556463652708,-0.7208636011171876
C8,70/30,0.6570328724362925,0.5427510168986092,1.2900671046456953,0.3429671275637075,0.7473160877470861
