split,model,metric,mean,ci_low,ci_high,n_units
50/50,Classical,mae_forecast,8.484701088571654,7.930548774697321,9.103202340760502,8
50/50,FOK,mae_forecast,2.2166768510483745,1.6433531379693311,2.795206533484737,8
50/50,KWW,mae_forecast,2.260221130697324,1.6035841624975835,2.9585386503338666,8
60/40,Classical,mae_forecast,6.8061476675311035,5.621133056667836,8.023072517082275,8
60/40,FOK,mae_forecast,2.436952075607459,1.698124058410885,3.103828596932108,8
60/40,KWW,mae_forecast,2.7131580996931985,1.7210783301650596,3.8654714518267896,8
70/30,Classical,mae_forecast,5.305131031640922,4.0846390482777215,6.543826265351834,8
70/30,FOK,mae_forecast,2.0030481786652485,1.2485719137439522,2.711552032817118,8
70/30,KWW,mae_forecast,2.34000042058977,1.6175744377568912,3.157691995546248,8
