specimen,split,mean_signed_residual,median_signed_residual,n_forecast
C1,50/50,0.5948653416378556,-0.011114557917778711,13
C1,60/40,3.0271843411585073,2.9508432211564894,10
C1,70/30,2.036817551983165,2.369318595113704,8
C2,50/50,-3.6229899428898267,-2.20085140101331,13
C2,60/40,-3.6743221359440277,-1.7726601739997818,10
C2,70/30,-3.207099703919206,-0.8634268479019198,8
C3,50/50,-2.5112652769481993,-2.720145611268407,13
C3,60/40,-2.62919504851221,-2.5200476520461947,10
C3,70/30,-1.8862629536875222,-1.8233307685681055,8
C4,50/50,-2.5109848902561156,-1.8893953546798485,13
C4,60/40,-2.7676195063192908,-2.0078736715367924,10
C4,70/30,-2.311652458842822,-1.4661498118054581,8
C5,50/50,-2.9025288951288704,-2.8376047889492213,13
C5,60/40,-1.4054267579214028,-1.358157903348328,10
C5,70/30,0.2786421232946985,0.37903124771455765,8
C6,50/50,1.3495843098608222,1.188978545969924,13
C6,60/40,2.0782481736402274,2.236506391634144,10
C6,70/30,2.0437015176009057,2.17792826095161,8
C7,50/50,-2.4438369684177994,-2.4415863749224087,13
C7,60/40,-3.4436604264839703,-3.195173460487034,10
C7,70/30,-3.4802985618442577,-3.2287948179426635,8
C8,50/50,-1.1326360793238466,-0.971473190807032,13
C8,60/40,-0.22041886224206664,-0.1522431205349335,10
C8,70/30,-0.03855098277422542,0.043624586199783266,8
