split,qoi,parameter,method,index_type,mean,median,q25,q75
50/50,T_0.80,alpha,morris,mu_star,964.5892187694783,979.6753942384589,527.0475071129674,1082.9880416946748
50/50,T_0.80,alpha,morris,sigma,670.4188537227019,676.0467548887748,348.27254587428297,775.9074586697812
50/50,T_0.80,alpha,sobol,first,0.8460050376370406,0.859630929787442,0.8402508941784437,0.8723843947808737
50/50,T_0.80,alpha,sobol,total,0.9244221274253906,0.9345072778299255,0.9050001663853439,0.9468850844858765
50/50,T_0.80,f_inf,morris,mu_star,0.00031974797573171006,0.0002660052334551466,0.0001633775019327821,0.0004137613509797688
50/50,T_0.80,f_inf,morris,sigma,0.0003334884573887461,0.0002749762519508847,0.0001574980440826293,0.0004104248601335399
50/50,T_0.80,f_inf,sobol,first,-0.014197893232622993,-0.02165353062369446,-0.041168760292247975,0.012007676338923051
50/50,T_0.80,f_inf,sobol,total,1.0322969369780252e-13,6.113608513974543e-14,4.7222597366176894e-14,8.659801417920298e-14
50/50,T_0.80,k,morris,mu_star,432.99982340019267,352.8495021416552,167.8360035269865,400.33641606564663
50/50,T_0.80,k,morris,sigma,437.4569575536911,356.98451732196804,181.96510486839352,463.44369536529354
50/50,T_0.80,k,sobol,first,0.0645995307371409,0.06739867405744815,0.03989623642802384,0.09285135833150265
50/50,T_0.80,k,sobol,total,0.13711161165140717,0.13045228986808086,0.11497357937131292,0.15286178042411133
60/40,T_0.80,alpha,morris,mu_star,875.0297685442225,1018.3896589716907,448.80716719456905,1062.8960145280967
60/40,T_0.80,alpha,morris,sigma,590.7466302680974,682.9511867267752,331.92080735629327,725.1010118586296
60/40,T_0.80,alpha,sobol,first,0.8651099616102548,0.8716684901385949,0.8602787542028925,0.8793100123119209
60/40,T_0.80,alpha,sobol,total,0.9416947893303611,0.9399967154387424,0.9195774154166849,0.9613327280485441
60/40,T_0.80,f_inf,morris,mu_star,0.00041296281972191817,0.00019273668496442298,8.476730507909203e-05,0.0003515670099049295
60/40,T_0.80,f_inf,morris,sigma,0.0005598849659524739,0.00021003975243671398,9.472278488096706e-05,0.0003857363919949562
60/40,T_0.80,f_inf,sobol,first,-0.0008261805073684902,-0.00537915446179249,-0.03231176547990561,0.026263870582493992
60/40,T_0.80,f_inf,sobol,total,3.111987085268915e-13,5.427516752686098e-14,4.317131916625203e-14,7.613187018465552e-14
60/40,T_0.80,k,morris,mu_star,334.86550762149136,301.57307301616004,190.20941702137702,413.75354354817347
60/40,T_0.80,k,morris,sigma,371.51264764145446,298.77455769954037,197.58756059129,413.17555358296477
60/40,T_0.80,k,sobol,first,0.08196766926134966,0.07344256808743244,0.060751877669034865,0.09953088072137231
60/40,T_0.80,k,sobol,total,0.1387358305392758,0.13700162034745422,0.11076954107595469,0.15743766881143206
70/30,T_0.80,alpha,morris,mu_star,899.4504410077734,825.6048547639266,504.5990563397567,983.7682178319953
70/30,T_0.80,alpha,morris,sigma,559.1417135564502,486.4786379633248,340.6025008897274,629.7861026259623
70/30,T_0.80,alpha,sobol,first,0.861316600504073,0.8690796252825537,0.8585957684477612,0.8786312611519299
70/30,T_0.80,alpha,sobol,total,0.8703999797233857,0.8641475108769364,0.8325276838101862,0.9063101586651026
70/30,T_0.80,f_inf,morris,mu_star,0.0002341170802958592,0.0001523583656229732,0.00011623351300302787,0.00022327583487973256
70/30,T_0.80,f_inf,morris,sigma,0.0002598690424076889,0.00017307366301141252,0.0001220302963152717,0.0002695368762332147
70/30,T_0.80,f_inf,sobol,first,0.0256776948689854,0.03704293314489959,0.011207281354208787,0.0603115886185536
70/30,T_0.80,f_inf,sobol,total,5.0584684087325836e-14,5.156332322391722e-14,4.398972655613476e-14,5.696354380234541e-14
70/30,T_0.80,k,morris,mu_star,339.16687167841945,252.35489158697936,210.19687192915052,356.749539979358
70/30,T_0.80,k,morris,sigma,357.596048568724,257.17413659177635,196.9532513671438,388.55615506811375
70/30,T_0.80,k,sobol,first,0.12339106442388813,0.13922338753955688,0.09898781230418513,0.16435659046173734
70/30,T_0.80,k,sobol,total,0.1375268662446855,0.1337721345464402,0.10858710141157053,0.15883364374806735
